TimeStamp,Voltage,Current,RealPower,PowerFactor,ApparantPower,Reactivepower,Frequency,Remarks
2021-08-10 09:03:08.576142,224.38,0.70,162.00,0.90,179.40,77.08,50.02,
2021-08-10 09:03:08.578450,224.38,0.70,162.00,0.90,179.40,77.08,50.02,
2021-08-10 09:03:08.580535,224.38,0.70,162.00,0.90,179.40,77.08,50.02,
2021-08-10 09:03:08.583227,224.38,0.70,162.00,0.90,179.40,77.08,50.02,
2021-08-10 09:03:08.587118,224.38,0.70,162.00,0.90,179.40,77.08,50.02,
2021-08-10 09:03:08.590577,224.38,0.70,162.00,0.90,179.40,77.08,50.02,
2021-08-10 09:03:08.594490,224.38,0.70,162.00,0.90,179.40,77.08,50.02,
2021-08-10 09:03:08.598384,224.38,0.70,162.00,0.90,179.40,77.08,50.02,
2021-08-10 09:03:08.602303,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.606257,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.609699,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.613435,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.617549,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.621423,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.625225,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.629308,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.632487,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.636461,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.640429,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.644386,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.648214,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.651566,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.655392,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.659348,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.663290,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.667148,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.671408,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.674628,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.678568,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.682411,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.686657,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.692057,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.695118,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.698131,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.701304,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.705561,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.709423,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.713083,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.716504,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.720485,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.724392,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.728445,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.732341,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.735658,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.739553,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.743642,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.747476,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.751435,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.755304,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.758635,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.762535,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.766466,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.771892,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.774857,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.778190,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.781658,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.785403,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.789437,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.794133,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.797294,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.800573,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.804450,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.808455,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.812377,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.816246,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.820249,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.823486,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.827496,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.831292,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.835250,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.839260,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.842461,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.846301,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.850466,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.854251,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.858251,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.862303,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.865597,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.869548,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.873327,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.877134,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.881232,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.884525,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.888442,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.892345,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.896343,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.900272,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.904215,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.907546,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
2021-08-10 09:03:08.911431,224.39,0.70,163.00,0.91,179.52,75.21,50.02,
